laua,laua_name,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >=300 Mbit/s (number of lines),Number of connections >=30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
E06000021,STOKE-ON-TRENT,59.8,83.6,1000,5.8,18.5,88.7,103.9,380.3,10,11.8,115,0.9,2.9,13.4,14.5,34.5,522,2524,4810,11793,64549,3540,68089,0.4,0.2,0.2,0.4,0.5,0.5,0.6
E07000221,STRATFORD-ON-AVON,41.7,54.8,1124,5.3,19.4,65.8,71.5,388.5,10,11,300,1,2.9,14,14.6,43,607,1628,2524,10155,35007,640,35647,0.4,0.2,0.1,0.3,0.4,0.4,0.6
E07000082,STROUD,39.8,50.2,1000,5.6,18.4,60.4,71.3,384.7,10,15.7,1000,1,2.7,14.7,23.5,277.9,616,2076,3545,9674,26932,930,27862,0.4,0.2,0.1,0.2,0.5,0.5,0.5
E08000024,SUNDERLAND,50.6,70.8,1000,5.7,18.9,77.8,90.2,381.8,10,11.2,115,1,2.8,13.5,14.4,34.6,724,3233,5520,15337,69946,2957,72903,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000214,SURREY HEATH,70.2,90,1124,5.5,19.3,87.5,105.6,379.8,10,13.6,220,1,3,14.1,15.9,43.4,172,605,977,3821,25032,1659,26691,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E09000029,SUTTON,72.4,90.1,484,6.1,18.3,90.8,109.2,376.9,10,13.1,180,1,2.6,13.9,15.9,44.8,254,1180,2967,9902,53087,3642,56729,0.4,0.4,0.1,0.3,0.5,0.5,0.6
E07000113,SWALE,50.3,62.2,1000,5.7,18.5,71.7,79.9,379.7,10,11.5,180,0.9,2.5,14.4,15.1,38.7,365,1334,2611,9268,35764,979,36743,0.6,0.4,0.2,0.4,0.6,0.6,0.7
W06000011,SWANSEA,64.7,84.4,1000,5.8,18.6,89.3,104.8,378.2,10,12,220,1,2.4,13.8,15,36.3,557,2026,4012,13099,64043,3624,67667,0.4,0.2,0.1,0.3,0.4,0.4,0.6
E06000030,SWINDON,69.7,88.2,1000,5.6,17.5,94.4,115.5,375.3,10,13.4,1000,0.9,1.7,14.3,17.8,61,552,2617,4297,14106,54566,4447,59013,0.4,0.2,0.1,0.2,0.5,0.5,0.6
E08000008,TAMESIDE,52,67.4,1000,6.5,18.1,74,85.6,385.7,10,11.5,115,1,2.6,14,14.7,34.9,334,1444,5292,13727,58516,2256,60772,0.6,0.4,0.1,0.3,0.6,0.6,0.6
E07000199,TAMWORTH,70.4,89.2,1124,6,18.3,87.1,105.9,397.1,10,12.8,115,0.9,2.6,13.9,15.1,35.1,142,498,1202,2979,20593,1327,21920,0.6,0.4,0.1,0.3,0.5,0.5,0.6
E07000215,TANDRIDGE,44.1,65.1,1000,5.7,19.5,73.8,86.7,378.9,10,11.2,115,1,3,14,15,36.9,259,909,1716,6688,21135,937,22072,0.4,0.2,0.1,0.3,0.5,0.5,0.7
E07000045,TEIGNBRIDGE,39.7,52.4,1000,5.6,18.9,68.5,76.1,379.7,9.6,9.3,180,0.9,2.5,13.2,13.9,43.4,587,2081,3592,12737,29659,740,30399,0.4,0.2,0.2,0.3,0.4,0.4,0.6
E06000020,TELFORD AND WREKIN,66.7,84.5,2363.9,6.2,18.1,86.6,102.5,384.5,10,12.6,180,1,2.3,13.7,15.3,44.4,235,980,2539,9382,48233,2712,50945,0.4,0.2,0.1,0.3,0.5,0.5,0.7
E07000076,TENDRING,39.1,41.6,2480.86,5.4,19.2,53.5,58.6,369.2,9.2,10.6,220,0.9,2.7,13.5,15.8,162.8,772,2613,3925,13241,32490,528,33018,0.4,0.2,0.2,0.4,0.5,0.5,0.4
E07000093,TEST VALLEY,55,85.8,1124,5.5,19,80.4,110.8,374.6,10,18.5,180,0.9,2.8,14.1,24.2,111.6,474,1625,2882,7373,31936,3684,35620,0.4,0.2,0.2,0.3,0.5,0.5,0.5
E07000083,TEWKESBURY,46.2,74.6,1000,5.4,17.9,84.1,109.6,371.1,10,20.9,1000,0.9,2,16,31.9,195.3,552,1697,2567,8029,20515,2000,22515,0.4,0.2,0.1,0.2,0.4,0.5,0.6
E07000114,THANET,40,54.2,484,6.1,18.7,62,72.5,386.1,10,10.5,50,1,2.6,13.7,14.4,34.4,293,1147,2866,11939,33221,1119,34340,0.4,0.2,0.2,0.4,0.5,0.5,0
E07000102,THREE RIVERS,70.2,88.9,1000,5.2,19.7,90.7,108.5,378.8,10,12.7,115,0.9,3.8,14.1,15.4,34.8,297,1013,1405,4161,24626,1622,26248,0.4,0.4,0.2,0.4,0.5,0.5,0.6
E06000034,THURROCK,57.9,86.9,1000,5.5,18.7,87.6,110.4,375.4,10,14.2,180,0.9,2.7,14,18,64.8,466,1818,2803,9055,40460,3484,43944,0.6,0.4,0.2,0.5,0.6,0.6,0.6
E07000115,TONBRIDGE AND MALLING,51.5,71.8,1000,5.6,18.8,77,93.6,379.9,10,13.9,1000,0.9,2.7,14.4,18.4,87.3,397,1341,2437,8479,31482,1832,33314,0.4,0.2,0.2,0.4,0.5,0.5,0.6
E06000027,TORBAY,39.9,63,1000,6.4,18.3,77.7,92.4,388.8,10,9.6,115,1,2,13.4,14.4,35.1,207,1072,3093,15223,30112,1500,31612,0.4,0.2,0.2,0.3,0.4,0.5,0.6
W06000020,TORFAEN,46.9,63.7,1000,5.8,18.8,70.1,81.8,384.1,10,12.7,180,0.9,3,13.9,16.5,82.9,289,1131,2533,4705,23398,912,24310,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000046,TORRIDGE,39.8,39.4,1000,4.8,19,55.9,56.8,398.7,9.8,9.3,115,0.8,2.5,14,14.1,53.1,757,1847,1999,4999,14993,39,15032,0.4,0.2,0.1,0.3,0.4,0.4,0.5
E09000030,TOWER HAMLETS,40,53.7,1000,6.5,16.8,69.6,76.6,365.6,10,10.8,180,0.9,1.5,15.2,16.1,54.8,474,2092,7520,19858,51556,1246,52802,0.4,0.4,0.2,0.2,0.5,0.5,0.6
E08000009,TRAFFORD,64.1,82,2480.86,6,18.1,83.9,100.4,425.6,10,12.5,115,1,2.7,14.2,15.3,35.4,412,1553,3682,12092,62209,3158,65367,0.4,0.4,0.1,0.3,0.5,0.5,0.6
E07000116,TUNBRIDGE WELLS,47,59.6,1000,5.7,19,71.2,78.3,370.4,10,11.1,115,0.9,2.6,14.3,14.8,36.4,368,1303,2467,7796,28110,685,28795,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000077,UTTLESFORD,40,55.9,1000,5.5,18.8,65.9,78.5,367.6,10,14.1,1000,0.9,2.6,14.2,20.6,166.6,442,1370,2330,7257,20294,885,21179,0.4,0.2,0.2,0.3,0.5,0.5,0.6
W06000014,VALE OF GLAMORGAN,55,71.1,1000,5.6,18.6,78.6,88.9,378,10,12.1,180,0.9,2.5,14.3,15.2,41.4,380,1311,2450,7311,35688,1261,36949,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000180,VALE OF WHITE HORSE,54.8,77.9,10000,5.5,19.2,76,96.5,437,10,22.3,10000,0.9,2.9,15.6,28.1,235.1,353,1250,2153,7691,36746,2215,38961,0.4,0.2,0.2,0.3,0.5,0.5,0.6
E08000036,WAKEFIELD,40,61.4,1000,5.7,18.9,71.3,81.4,387.6,10,10.8,220,0.9,2.9,13.5,14.4,40.7,1047,4381,7912,23484,84205,2786,86991,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E08000030,WALSALL,61.3,80.1,1124,6.1,18.1,85,100.2,394.1,10,11.7,220,1,2.5,13.6,14.7,35.1,431,2000,5309,13123,65465,3389,68854,0.4,0.4,0.1,0.3,0.5,0.6,0.7
E09000031,WALTHAM FOREST,76.1,90.3,1000,6.8,16.8,97.6,115.7,368,10,12.8,180,0.9,1.8,14,16.5,51.4,333,1289,5939,13681,60061,4320,64381,0.4,0.4,0.2,0.3,0.5,0.5,0.6
E09000032,WANDSWORTH,61.9,71,1000,6.3,17.2,79.4,88.8,361.6,10,12.6,180,0.9,1.8,15.2,16,39.2,445,1928,5626,17987,80399,2764,83163,0.4,0.4,0.1,0.2,0.5,0.5,0.5
E06000007,WARRINGTON,61.7,82.1,1124,5.7,18.8,84.5,100.4,413.3,10,12.2,220,0.9,2.8,13.8,14.8,35.6,524,1690,3435,10902,58372,2969,61341,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000222,WARWICK,64.4,79.5,1124,5.3,18.7,83.4,95.7,387.7,10,12.5,115,0.9,2.8,14.2,15.1,36.1,419,1543,2150,6438,41189,1736,42925,0.4,0.2,0.1,0.2,0.4,0.5,0.6
E07000103,WATFORD,77.8,93.2,484,6.3,17.9,93.8,109.8,378.6,10,13.2,50,1,2.5,14.4,15.5,34.3,118,508,1638,3615,26691,1597,28288,0.4,0.4,0.2,0.3,0.5,0.5,0.6
E07000216,WAVERLEY,40,50.9,1000,5.6,19.4,61.5,66,371.2,10,10.9,180,1,3.2,13.9,14.4,51.8,377,1351,2384,9456,31737,463,32200,0.4,0.2,0.1,0.3,0.5,0.5,0.7
E07000065,WEALDEN,39.9,45,2480.86,5.8,19,57.1,59.8,380.6,10,10.4,180,1,2.8,14,14.4,59.8,489,1580,3311,13765,37840,324,38164,0.4,0.2,0.1,0.2,0.5,0.5,0.8
E07000156,WELLINGBOROUGH,54.8,73.4,1000,5.2,18.6,79.9,92.5,370.9,10,12.7,1000,0.9,2.5,14.1,16.2,62.7,354,745,1163,4849,21139,956,22095,0.4,0.2,0.1,0.3,0.4,0.4,0.2
E07000241,WELWYN HATFIELD,69,87.5,1000,5.7,18.7,90.5,107.2,379.1,10,12.7,115,0.9,2.9,14.3,15.5,35.7,250,1056,2055,5213,30165,1859,32024,0.4,0.2,0.1,0.3,0.4,0.4,0.6
E06000037,WEST BERKSHIRE,50,79,1124,5.6,18.7,75.9,105.4,393.5,10,29.7,1000,0.9,2.5,17.8,41,267.9,587,1842,3228,11319,37815,3870,41685,0.4,0.2,0.2,0.4,0.5,0.5,0.6
E07000047,WEST DEVON,35.7,36.9,1000,5.2,18.6,55.8,56.5,388.3,7.2,8.3,220,0.8,2.4,13.7,13.8,55.9,446,1411,1898,5172,10856,23,10879,0.4,0.2,0.1,0.3,0.4,0.4,0.7
S12000039,WEST DUNBARTONSHIRE,107,105.3,1000,6.4,17.3,106,126,382.5,10,12.8,115,0.9,2,13.9,15.3,34.4,125,544,1704,4268,27400,2129,29529,0.4,0.2,0.1,0.2,0.5,0.5,0.6
E07000127,WEST LANCASHIRE,40,48.3,1000,5.6,18.7,59.3,64.7,383.3,10,10.3,220,0.9,2.5,13.8,14.3,42.9,387,1454,2529,8730,26593,447,27040,0.4,0.2,0.2,0.3,0.6,0.6,0.7
E07000142,WEST LINDSEY,40,53.8,1000,5.1,19,65.9,72.6,396.6,10,10.3,115,0.9,2.8,13.7,14.2,35.7,586,1439,1940,6769,22329,460,22789,0.4,0.2,0.1,0.2,0.4,0.4,0.5
S12000040,WEST LOTHIAN,51.6,73.5,1124,5.9,18.8,79.9,96,386.2,10,11.4,115,1,2.5,13.8,15,35.6,428,1722,3603,13563,47502,2644,50146,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000181,WEST OXFORDSHIRE,47.8,68.7,1000,5.7,19.1,69,89.3,382.1,10,23.4,1000,1,2.8,15.6,31.5,259.5,377,1201,2341,7712,28429,1979,30408,0.4,0.2,0.2,0.3,0.4,0.5,0.6
E07000245,WEST SUFFOLK,40,49.9,1000,5.5,19.3,61.2,63.9,376.7,10,10.7,300,1,2.9,13.8,14.1,44.4,570,1851,3153,13445,46543,405,46948,0.4,0.2,0.2,0.3,0.4,0.4,0.7
E09000033,WESTMINSTER,39.9,45.3,1000,6.6,18,65.3,67.7,356.6,10,9.8,115,0.9,1.4,16,16.2,41.9,501,1283,5612,30414,49192,422,49614,0.4,0.2,0.1,0.1,0.4,0.4,0.4
E08000010,WIGAN,67.8,88.6,1124,6,18.6,93,109.8,386.1,10,12,115,0.9,2.6,13.6,14.8,34.9,586,2491,5962,17016,86082,5246,91328,0.4,0.2,0.2,0.4,0.5,0.5,0.6
E06000054,WILTSHIRE,44.9,62.8,1000,5.7,18.9,70.9,82.8,371.8,10,12.7,1000,1,2.7,13.9,17,93.4,1586,4972,10036,37226,123828,5125,128953,0.4,0.2,0.2,0.3,0.5,0.5,0.6
E07000094,WINCHESTER,44.2,64.5,1000,5.2,19.1,73.7,86.6,368.1,10,12.2,220,0.9,2.8,13.7,16.6,79.1,584,1771,2525,8618,29544,1356,30900,0.4,0.2,0.1,0.3,0.4,0.4,0.6
E06000040,WINDSOR AND MAIDENHEAD,46.1,64.6,1000,5.5,19.1,73.3,84.8,374.4,10,11.4,1000,0.9,3.1,14.1,15,39.2,467,1867,3121,10139,37199,1482,38681,0.4,0.2,0.1,0.3,0.5,0.5,0.7
E08000015,WIRRAL,49.8,71.8,1000,6.3,18.2,79.4,93.9,386.4,10,11.1,165,1,2.5,13.5,14.6,35.7,535,2254,6506,23640,80976,4026,85002,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000217,WOKING,72.7,91.2,1000,6.1,18.6,92.4,109.7,374.5,10,12.9,115,0.9,2.9,14.2,15.5,34.8,169,675,1713,4612,27961,1835,29796,0.4,0.4,0.1,0.3,0.5,0.5,0.6
E06000041,WOKINGHAM,55,80.3,1124,5.8,18.6,82.6,100.2,412.6,10,13.6,1000,1,2.6,14.2,17,66.4,352,1424,2655,9898,44836,2526,47362,0.4,0.4,0.2,0.4,0.5,0.5,0.6
E08000031,WOLVERHAMPTON,71.6,89,1124,6.4,18,94,110.5,380.7,10,11.7,115,1,2.5,13.3,14.5,34.5,341,1413,4549,12511,61655,3770,65425,0.4,0.4,0.1,0.3,0.5,0.5,0.7
E07000237,WORCESTER,41.7,49.6,1000,5.5,19.2,58.3,61,357.2,10,12.5,180,0.9,3.3,14.3,15.6,158.5,312,1476,2289,4479,27401,248,27649,0.4,0.4,0.2,0.4,0.5,0.5,0.2
E07000229,WORTHING,67.3,92.1,1000,6.6,17.9,92.4,112.2,373.2,10,14.7,180,1.1,2.4,13.8,18,73.4,111,490,1834,6146,30815,2337,33152,0.4,0.2,0.1,0.2,0.4,0.4,0.6
W06000006,WREXHAM,40,52.7,2363.9,5.6,19,61.6,70.2,400.8,10,10.8,165,0.9,3,14,14.6,38.1,547,1883,3214,8801,31341,816,32157,0.4,0.2,0.1,0.3,0.6,0.6,0.6
E07000238,WYCHAVON,40,47.4,1124,5.4,18.9,59.4,61.6,379.3,10,10.7,300,1,2.9,14.1,14.3,49.9,515,1760,2627,9278,32774,230,33004,0.4,0.2,0.1,0.3,0.5,0.5,0.8
E07000128,WYRE,39.5,43.4,1000,5.8,18.7,54.7,59.5,643.5,9.8,11.8,1000,1,2.5,13.7,17.3,453.1,251,1276,2480,10578,25302,205,25507,0.4,0.2,0.2,0.3,0.5,0.5,0.6
E07000239,WYRE FOREST,49.2,66.8,1124,5.7,18.3,75.7,86.6,394.2,10,11.2,115,1,2.8,13.8,14.5,34.9,293,1252,2407,5762,25420,900,26320,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E06000014,YORK,53.3,147.1,1000,5.9,18.4,77.8,201.8,793.3,10,98.1,900,0.9,2.3,13.9,137.6,727.6,554,2123,4515,13589,41763,8757,50520,0.4,0.2,0.2,0.3,0.4,0.4,0.5
