laua,laua_name,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >=300 Mbit/s (number of lines),Number of connections >=30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
E06000056,CENTRAL BEDFORDSHIRE,55,79.3,1000,5.6,19,82.6,100.1,377.7,10,13.8,1000,1,2.6,14,17.6,73.5,685,2376,4174,18625,74702,4719,79421,0.4,0.2,0.1,0.3,0.5,0.5,0.6
W06000008,CEREDIGION,38,41.4,1000,4.6,18.7,61,65.2,382.1,8,8.8,165,0.8,2.2,14.1,14.6,51.8,1073,2315,2386,5337,13883,183,14066,0.4,0.2,0.1,0.2,0.4,0.4,0.8
E07000130,CHARNWOOD,61.9,81.7,1000,5.7,19.2,86.9,100.9,375.1,10,11.9,115,1,2.7,13.6,14.7,35.1,352,1311,2626,9699,46263,2363,48626,0.4,0.2,0.2,0.4,0.4,0.5,0.6
E07000070,CHELMSFORD,50,66.6,1000,5.7,19,74.1,85,377.1,10,11.7,180,0.9,3,13.9,15,46.1,569,1956,3734,10736,46641,1746,48387,0.4,0.4,0.2,0.4,0.5,0.5,0.6
E07000078,CHELTENHAM,70.8,87.1,550,5.3,18.8,88.3,103.4,371.7,10,13.4,500,0.9,3.1,14,15.9,49.3,335,1374,1904,4571,35096,1981,37077,0.4,0.2,0.1,0.2,0.4,0.4,0.6
E07000177,CHERWELL,52.2,66.6,1000,5.6,19.1,67.7,81.8,374.2,10,17.1,1219.49,0.9,3,15.1,21.4,153,388,1367,2484,8467,41354,1993,43347,0.4,0.4,0.2,0.3,0.5,0.5,0.6
E06000049,CHESHIRE EAST,40,58.6,1124,5.6,18.7,68.5,76.9,396.6,10,11.1,220,0.9,2.9,14,14.7,42.2,1454,4741,8895,27514,100464,2643,103107,0.4,0.2,0.1,0.3,0.4,0.4,0.6
E06000050,CHESHIRE WEST AND CHESTER,40,53.8,2363.9,5.6,19.2,64.1,71,391.4,10,10.7,220,1,2.9,13.8,14.4,39.4,1128,4175,7558,26547,87526,1867,89393,0.4,0.2,0.1,0.3,0.5,0.5,0.7
E07000034,CHESTERFIELD,40,56.1,1000,5.7,19.5,66,73.1,390.4,10,10.5,115,0.9,3.4,13.3,13.8,35,308,1428,2681,6406,26255,588,26843,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000225,CHICHESTER,39.8,45.7,1000,5.6,19.1,58,62.3,376.5,9.8,9.9,115,1,3,13.6,14,42.2,582,1616,2893,11213,29897,406,30303,0.4,0.2,0.1,0.3,0.4,0.4,0.7
E07000118,CHORLEY,50.7,68,1000,5.4,19.3,76.2,86,379.5,10,11.3,115,0.9,2.7,13.6,14.3,36.4,361,1142,1854,7141,29995,1007,31002,0.4,0.2,0.2,0.3,0.5,0.5,0.6
S12000036,CITY OF EDINBURGH,77.9,92,4000,6.4,17.8,98.5,114.3,379.8,10,12.1,900,1,1.8,13.8,15.1,36.7,669,2542,8071,34040,147920,8842,156762,0.4,0.2,0.1,0.2,0.4,0.4,0.6
E09000001,CITY OF LONDON,19.3,31.6,550,6.5,17.7,67.3,75.4,342.7,1.2,5.4,75,0.8,1.1,15.7,16.6,46.7,84,196,826,3261,1619,49,1668,0.2,0,0,0.1,0.3,0.3,0.6
S12000005,CLACKMANNANSHIRE,39.9,42.4,1000,5.5,19.1,54.9,55.3,393.4,10,10.1,115,1,2.8,13.8,13.9,55.6,178,657,1051,4380,13335,17,13352,0.6,0.2,0.1,0.3,0.6,0.6,0.9
E07000071,COLCHESTER,52.5,75,1000,5.2,19.2,79.2,97.1,371.5,10,14.1,180,0.9,2.6,13.7,18.4,90.7,797,2333,3194,11662,46427,3029,49456,0.4,0.2,0.2,0.4,0.5,0.5,0.6
W06000003,CONWY,40,43.7,1000,5.2,18.4,57.8,58.7,411.1,10,10.2,115,0.9,2.4,14.2,14.3,55.9,700,1888,2693,8423,27781,66,27847,0.4,0.2,0.1,0.2,0.5,0.5,1
E07000029,COPELAND,40,45.9,1000,5.4,19.3,57.4,60.1,362.1,10,11.3,180,0.9,2.7,14.1,15.5,171.5,324,950,1596,5171,17687,163,17850,0.4,0.2,0.2,0.3,0.4,0.4,0.4
E07000150,CORBY,70.3,104.4,1000,5.9,18,83.9,126.3,361.4,10,28,1000,0.9,2.5,13.8,34.3,148.1,153,462,999,3385,17537,3161,20698,0.6,0.4,0.1,0.3,0.6,0.6,0.5
E06000052,CORNWALL,39.1,45.5,2480.86,5.6,18.4,63,69,365.4,8.5,9.5,220,0.9,2,14.5,15.4,56,3128,9401,16638,62174,118836,2409,121245,0.4,0.2,0.2,0.3,0.4,0.4,0.8
E07000079,COTSWOLD,39.8,62.5,1000,5.4,18.4,59,94,385.1,9.8,36.3,1000,0.9,2.2,21.1,58.5,368.9,613,1797,2884,9559,20568,2473,23041,0.4,0.2,0.1,0.2,0.4,0.4,0.5
E06000047,COUNTY DURHAM,39.9,45.4,1000,5.6,19,56.9,59.6,392.9,10,10.3,180,0.9,2.8,13.6,14,64,1832,6217,10778,39268,124892,1017,125909,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E08000026,COVENTRY,58,84.3,1124,6.1,17.7,89.1,109.9,410.7,10,15.4,900,0.9,2.2,15,20.3,96.7,578,3115,7413,17869,75168,5203,80371,0.4,0.4,0.2,0.3,0.5,0.5,0.7
E07000163,CRAVEN,39.3,80.7,1000,5.3,19.3,55,119.4,972.7,9.8,50.9,1000,0.9,2.4,13.7,80,958,303,644,1078,6042,12544,948,13492,0.4,0.2,0.1,0.2,0.4,0.4,0.3
E07000226,CRAWLEY,77.9,100.8,1000,5.7,18.3,92.5,114.9,371.9,10,16.4,180,0.9,3.2,13.8,18.7,74.5,225,842,1570,2796,31346,2733,34079,0.6,0.4,0.1,0.3,0.5,0.5,0.6
E09000008,CROYDON,58.2,81.4,1000,6.4,17.6,90.5,108,373,10,11.7,180,1,2.1,13.9,15.7,43.3,561,2326,7615,26009,86568,5695,92263,0.4,0.4,0.2,0.3,0.5,0.5,0.6
E07000096,DACORUM,63.5,82.2,1000,5.5,19.1,87.3,102.8,381,10,12.1,115,0.9,2.8,13.9,15.1,35.6,393,1545,2594,8534,40699,2272,42971,0.4,0.2,0.2,0.3,0.5,0.5,0.6
E06000005,DARLINGTON,78.1,94.1,1000,5.1,17.8,100.4,117.4,379.3,10,11.8,115,0.8,2,13.4,14.7,34.6,511,1665,2233,4269,28885,1878,30763,0.4,0.2,0.1,0.2,0.4,0.4,0.6
E07000107,DARTFORD,53.4,78.8,1000,5.8,18.4,73.3,100.1,367.1,10,19.1,180,1,3,14.4,24.7,127,322,1103,2277,6155,27421,2761,30182,0.6,0.4,0.1,0.3,0.6,0.6,0.5
